"HolderAddress","Balance","PendingBalanceUpdate"
"0xa469000432abd01818eb54fda618b8b4d80b17b2","63,379,235.45205044","No"
"0xb5ae2ee87d8666c6fa7452b14c57b6e372b14376","63,000,000.42","No"
"0xcb383363b1423e5e7eacc18c01aab521b1154859","62,904,535.298","No"
"0xaf07588b4c0ba8963011166c9b9e5ba73461ef0b","60,310,637.4476","No"
"0x75414336b9be96614cfcf3e5b42498f6f2dee288","60,273,513.95","No"
"0xbf7616c93574b2893b5ad35ff204b676f87e6a9b","60,171,941.116","No"
"0x6e973302c9d664b30e1da0517ca485fb0a0901f0","59,983,491.62895444","No"
"0xf2b3636139947cb1d5fdf6e083a579f4d314bb2a","58,697,242.8","No"
"0xf45788d1278dd53bf2d5382c0cf63776c65082e2","58,071,855.02","No"
"0x4ccd1a4030e5014eb7a10448c1a2f6f26d927478","57,554,748.55560805","No"
"0x65e06b18b5cc642c9a66833c08462a2f958d1c61","57,488,836.262575940586388844","No"
"0xaa0e69899cdbe82c28fe01a12a35a9c5d850ec11","56,816,645.0926","No"
"0x4f0f082ddb4c94c7ba994b43cc3f4ecf2dcb535a","56,546,953.14883393","No"
"0xdca8f8c108de3a612fd4fe619769a7dc306bce46","54,986,585.7431","No"
"0x01829f4c6496c2e54388c324c48cb2e2d1a5e814","53,333,171.55","No"
"0xfbdea22aca941d0053e2b1fb465c9a51972269c6","53,300,000","No"
"0xa2594b4d11bb79b78329fb42021a5c4899588cfe","52,246,173.9091","No"
"0x9ce32c472da21a26fb9f97c77488e40bfc943863","52,013,227.3952","No"
"0xae881d68dafd1cdca74f5cd96f6c5d10fb993d67","51,693,644.7562","No"
"0x6d816a64d77d13460e9b354128f01c00b28b5129","51,394,712.3049","No"
"0xc1e87fcfa3d1a8bed9058a4ef0e7fde08bd41974","51,374,600.03423215","No"
"0x71477994f506c829eed5cabc2ff112b3bd1d1d2c","51,165,183.0069","No"
"0xfde507ad8511ce21346cf980487a9d107296f379","51,150,234.9","No"
"0xb88ee5733ddad5385414779998d192aec1abd7c6","50,696,896.55082433","No"
"0x0d3f006e799ee07fb72bd3dc8d49213d6a2dcde8","50,150,985.1186","No"
"0x142d54e2c8707448fb894bb190088f4556e004f9","50,000,001.10439922","No"
"0x7693124b0af4807db31f2ce1d289ce2a6f2b4218","49,800,000","No"
"0x4e0e207c7871c0bcf19c7368b91b857ca7de80eb","49,800,000","No"
"0x07ba4fffe5847d0e036a5a5016c64a9e096d20e7","49,381,253.87","No"
"0x8835b7abca6a6351e000c57747edb367882a8e53","49,037,537.01739321","No"
"0xd691eff41d6b255d01cdbde285d5456aaa356a62","48,981,625.66501659","No"
"0x45afe3a9aec662e1f0db133c44c2ba085b3d8ede","48,597,965.23964337","No"
"0x3f23d181c96ddd3325fd3385e9b59ef0ec357a1e","48,166,616.86","No"
"0xb72d7bf118674c5a04fb5b389f897812ffa2a2ae","48,109,404.1126","No"
"0x661bf176c28bbdbad74963926fadec22a744f8d0","47,665,439.6727133","No"
"0xdeedf04d8915c935ce081741a3e01c39769949b7","46,814,639.4033","No"
"0x842242ef11c565591d2cf7b3c1f2a436787fede7","46,612,958.0425","No"
"0xd473fe075a79a8bf1fa3efeea0aeba546ee3d059","46,100,000","No"
"0x7b85675e080e6af981fba3f4afd028c9dce2116e","45,296,770.74292005","No"
"0x0f4434247725369aa9787d7d6033c656d8a9098f","45,165,711.48","No"
"0x1ff3bed38bfcff8480b60e6d928227c6f1e17a61","43,978,328.892","No"
"0x52de72e85d022281c05d5214cfcd54e6faa614e1","43,283,300.13","No"
"0xb1d3f4fc3a24eda0198a4524e0953f162eb911a3","43,271,323.0463","No"
"0x214207a5e15ffc62f882591e607b33a62db98132","43,169,347.83017633","No"
"0xa2d668a32aaf5b746494fd3b9f6637a8d093738b","42,231,837.41939235","No"
"0x130e00941698528a318d648d9af9038f7a1294e4","41,890,736.4497","No"
"0xb996fd7c0cd60a8aec4840a78971d05851d8af5b","41,669,528.19","No"
"0x2f3d56806676474f5524ce129013ee8f6eeb2d36","41,460,916.5945","No"
"0x09b40d2309fb0d0442064b2e5aafc7e84ab34f35","41,381,604.732609662486292892","No"
"0x543ea1898f0f21f717175fe3e4e03fd4752fc3f8","41,194,045.82437234","No"
"0xbc345588a9d57bbe0f79575dc6c316b8e1bcef73","40,414,005.42553444","No"
"0xf97df6383c3e0797d14641d25430e472f18347ff","40,299,754.8144","No"
"0x7f0c9670d9f5778badd6d5f9f8fd130456140308","40,098,440.077","No"
"0x7f0467279a21f04ae1dafa44d3eb5ede55add5e7","40,000,873.92","No"
"0x155f96784236ee10cbaf9b74bc7938a6e51161b2","40,000,000","No"
"0x19772abe8ffd630114e304bd27264f4bde8cdf9a","40,000,000","No"
"0xca3e03215fac1e4a5f8bbc401d85066c76473398","39,904,350.5237","No"
"0x63abb9878543a4e9f8bf175ccb6a6a9ebb58ed62","39,169,312.8292","No"
"0xf6fdc5ece079f07c36bf116303678f5dd0c3b590","38,965,758.46939931","No"
"0x6cbb64fd253ebbf484f39f112b1e5155eb48c497","38,353,331.38000084","No"
"0x52e4a812d45c47a8d2514206f31c8cfe9e0616f7","38,122,118.7284","No"
"0xff2201f1ca94f95044a89fd7f97398f5ceedbc68","37,932,912.19","No"
"0xb74301aa1c20eb7142feecfc2f308f5796ea8999","37,300,000","No"
"0x41c56c63870751a61293c23e46d2969651a7de87","37,026,439.7918","No"
"0x1d3584c31bab3f766b4121a9ff8801a335271187","35,910,407.30873815","No"
"0x075e2fa12fd3b6caef61dcb3d7388f2861772d1d","35,649,803.1826","No"
"0x89f70fcb9bc1a5e51342c5a9208ce6f9baee7c04","35,500,000.01923996","No"
"0xec492b0855ade4c3983428468bb994e2f60a15dc","35,179,305.347","No"
"0x2eed81eec5aa631e83b7340d85a178a24bc13121","35,000,000","No"
"0xd47ab340a4b510b846714f32d187bf5cb2666ca7","34,930,195.88754","No"
